City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
153,Vardo,NO,70.3705,31.1107,19.4,68,0,23.02,clear sky,2022-08-10 22:45
154,Tuatapere,NZ,-46.1333,167.6833,62.01,85,96,1.99,overcast clouds,2022-08-10 22:36
155,Talcahuano,CL,-36.7167,-73.1167,60.8,63,0,13.8,clear sky,2022-08-10 22:41
156,Zhanaozen,KZ,43.3,52.8,65.71,25,7,18.84,clear sky,2022-08-10 22:45
157,Khatanga,RU,71.9667,102.5,15.3,86,100,13.4,overcast clouds,2022-08-10 22:45
158,Kalmunai,LK,7.4167,81.8167,77.94,81,62,5.01,broken clouds,2022-08-10 22:45
159,Mar Del Plata,AR,-38.0023,-57.5575,66.99,82,90,16.11,moderate rain,2022-08-10 22:44
160,Kieta,PG,-6.2167,155.6333,78.19,91,100,6.71,moderate rain,2022-08-10 22:36
161,Ndele,CF,8.4109,20.6473,77.47,17,99,4.29,overcast clouds,2022-08-10 22:46
162,Norman Wells,CA,65.282,-126.8329,-5.8,71,90,8.05,light snow,2022-08-10 22:41
163,Mount Pleasant,US,32.7941,-79.8626,72,94,1,16.93,clear sky,2022-08-10 22:46
164,Inuvik,CA,68.3499,-133.7218,-2.2,46,100,6.91,overcast clouds,2022-08-10 22:46
165,South Hill,US,47.1412,-122.2701,52,30,75,5.75,broken clouds,2022-08-10 22:46
166,Merin,CZ,49.3932,15.8838,46,100,82,1.01,broken clouds,2022-08-10 22:46
167,Odienne,CI,9.51,-7.5692,86.94,39,93,6.64,overcast clouds,2022-08-10 22:46
168,Payo,ID,-3.7508,103.6372,72.36,96,63,1.3,broken clouds,2022-08-10 22:46
169,Timmins,CA,48.4669,-81.3331,62.6,48,75,2.3,broken clouds,2022-08-10 22:45
170,Vao,NC,-22.6667,167.4833,77.07,89,100,24.54,overcast clouds,2022-08-10 22:46
171,Magdagachi,RU,53.45,125.8,18.21,65,10,7.65,clear sky,2022-08-10 22:46
172,Katsuura,JP,35.1333,140.3,53.01,62,20,9.22,few clouds,2022-08-10 22:46
173,Talnakh,RU,69.4865,88.3972,28.13,97,100,4.92,light snow,2022-08-10 22:46
174,Constitucion,CL,-35.3333,-72.4167,53.94,81,0,12.1,clear sky,2022-08-10 22:46
175,Chapais,CA,49.7834,-74.8492,62.6,48,1,9.22,clear sky,2022-08-10 22:46
176,Kushiro,JP,42.975,144.3747,39.2,56,20,3.44,few clouds,2022-08-10 22:46
177,The Valley,AI,18.217,-63.0578,78.8,57,20,6.91,few clouds,2022-08-10 22:46
178,Xining,CN,36.6167,101.7667,37.09,88,100,0.63,overcast clouds,2022-08-10 22:36
179,Half Moon Bay,US,37.4636,-122.4286,66.99,67,1,11.5,clear sky,2022-08-10 22:46
180,Kamalia,PK,30.7333,72.65,72.34,19,4,6.93,clear sky,2022-08-10 22:46
181,San Ramon,US,37.7799,-121.978,75.99,33,1,9.22,clear sky,2022-08-10 22:43
182,Paramonga,PE,-10.6667,-77.8333,70.5,85,69,5.32,broken clouds,2022-08-10 22:46
183,Weligama,LK,5.9667,80.4167,76.71,83,22,1.99,few clouds,2022-08-10 22:46
184,La Ronge,CA,55.1001,-105.2842,41,45,92,9.22,overcast clouds,2022-08-10 22:46
185,Kawalu,ID,-7.3817,108.2082,73.04,94,100,1.57,overcast clouds,2022-08-10 22:46
186,Kruisfontein,ZA,-34.0033,24.7314,57,96,89,1.99,overcast clouds,2022-08-10 22:46
187,Chuy,UY,-33.6971,-53.4616,68.38,93,100,12.73,moderate rain,2022-08-10 22:46
188,Nanga Eboko,CM,4.6833,12.3667,69.13,95,71,0.67,light rain,2022-08-10 22:46
189,Barcelos,PT,41.5388,-8.6151,57,100,20,3.53,few clouds,2022-08-10 22:42
190,Yerbogachen,RU,61.2767,108.0108,0.93,94,27,3.62,scattered clouds,2022-08-10 22:46
191,Evensk,RU,61.95,159.2333,12.7,67,45,9.06,scattered clouds,2022-08-10 22:46
192,Buncrana,IE,55.1333,-7.45,33.35,72,20,6.53,few clouds,2022-08-10 22:46
193,Pangnirtung,CA,66.1451,-65.7125,29.39,85,100,5.66,overcast clouds,2022-08-10 22:46
194,Kokopo,PG,-4.352,152.2633,81.03,77,100,5.68,light rain,2022-08-10 22:46
195,Dunedin,NZ,-45.8742,170.5036,63.88,62,37,6.73,scattered clouds,2022-08-10 22:43
196,Tabou,CI,4.423,-7.3528,79.83,84,100,7.47,overcast clouds,2022-08-10 22:46
197,Faanui,PF,-16.4833,-151.75,82.27,70,59,9.6,broken clouds,2022-08-10 22:46
198,Price,US,39.5994,-110.8107,66.2,11,1,13.8,clear sky,2022-08-10 22:46
199,Qui Nhon,VN,13.7667,109.2333,75.9,87,68,6.06,broken clouds,2022-08-10 22:36
200,Pitimbu,BR,-7.4706,-34.8086,75.2,100,75,6.91,broken clouds,2022-08-10 22:46
201,Kaitangata,NZ,-46.2817,169.8464,64,71,52,4,broken clouds,2022-08-10 22:46
202,Castro,BR,-24.7911,-50.0119,61.88,63,0,2.86,clear sky,2022-08-10 22:46
203,Georgetown,MY,5.4112,100.3354,79,100,20,5.26,few clouds,2022-08-10 22:43
